DIVISION,yr,wk,cases,OUTBREAK,prev_cases,cases_mean,active_weeks,lag1,lag2,roll3,prev_active,wk_sin,wk_cos
RAJSHAHI,2026,4,5,1,2.0,16.363636363636363,21,2.0,2.0,5.0,1,0.9096319953545183,0.41541501300188644
RAJSHAHI,2026,5,8,1,5.0,16.363636363636363,21,5.0,2.0,9.0,1,0.9898214418809327,0.14231483827328512
RAJSHAHI,2026,6,6,1,8.0,16.363636363636363,21,8.0,5.0,15.0,1,0.9898214418809328,-0.142314838273285
RAJSHAHI,2026,7,3,1,6.0,16.363636363636363,21,6.0,8.0,19.0,1,0.9096319953545184,-0.4154150130018863
RAJSHAHI,2026,8,20,1,3.0,16.363636363636363,21,3.0,6.0,17.0,1,0.7557495743542583,-0.654860733945285
RAJSHAHI,2026,9,21,1,20.0,16.363636363636363,21,20.0,3.0,29.0,1,0.5406408174555978,-0.8412535328311811
RAJSHAHI,2026,10,42,1,21.0,16.363636363636363,21,21.0,20.0,44.0,1,0.28173255684142967,-0.9594929736144974
RAJSHAHI,2026,11,18,1,42.0,16.363636363636363,21,42.0,21.0,83.0,1,5.66553889764798e-16,-1.0
RAJSHAHI,2026,12,10,1,18.0,16.363636363636363,21,18.0,42.0,81.0,1,-0.2817325568414294,-0.9594929736144975
RAJSHAHI,2026,13,26,1,10.0,16.363636363636363,21,10.0,18.0,70.0,1,-0.5406408174555976,-0.8412535328311812
RAJSHAHI,2026,14,29,1,26.0,16.363636363636363,21,26.0,10.0,54.0,1,-0.7557495743542582,-0.6548607339452852
RAJSHAHI,2026,15,45,1,29.0,16.363636363636363,21,29.0,26.0,65.0,1,-0.909631995354518,-0.41541501300188716
RAJSHAHI,2026,16,64,1,45.0,16.363636363636363,21,45.0,29.0,100.0,1,-0.9898214418809327,-0.14231483827328523
RAJSHAHI,2026,17,37,1,64.0,16.363636363636363,21,64.0,45.0,138.0,1,-0.9898214418809328,0.14231483827328487
RAJSHAHI,2026,18,9,1,37.0,16.363636363636363,21,37.0,64.0,146.0,1,-0.9096319953545186,0.41541501300188605
RAJSHAHI,2026,19,6,1,9.0,16.363636363636363,21,9.0,37.0,110.0,1,-0.7557495743542587,0.6548607339452845
RAJSHAHI,2026,20,5,1,6.0,16.363636363636363,21,6.0,9.0,52.0,1,-0.5406408174555974,0.8412535328311812
RAJSHAHI,2026,21,1,0,5.0,16.363636363636363,21,5.0,6.0,20.0,1,-0.2817325568414298,0.9594929736144974
RAJSHAHI,2026,22,0,0,1.0,16.363636363636363,21,1.0,5.0,12.0,1,-1.133107779529596e-15,1.0
RANGPUR,2026,1,0,0,0.0,3.6818181818181817,12,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
RANGPUR,2026,2,0,0,0.0,3.6818181818181817,12,0.0,0.0,0.0,0,0.5406408174555976,0.8412535328311812
RANGPUR,2026,3,0,0,0.0,3.6818181818181817,12,0.0,0.0,0.0,0,0.7557495743542583,0.6548607339452851
RANGPUR,2026,4,0,0,0.0,3.6818181818181817,12,0.0,0.0,0.0,0,0.9096319953545183,0.41541501300188644
RANGPUR,2026,5,0,0,0.0,3.6818181818181817,12,0.0,0.0,0.0,0,0.9898214418809327,0.14231483827328512
RANGPUR,2026,6,0,0,0.0,3.6818181818181817,12,0.0,0.0,0.0,0,0.9898214418809328,-0.142314838273285
RANGPUR,2026,7,0,0,0.0,3.6818181818181817,12,0.0,0.0,0.0,0,0.9096319953545184,-0.4154150130018863
RANGPUR,2026,8,1,0,0.0,3.6818181818181817,12,0.0,0.0,0.0,0,0.7557495743542583,-0.654860733945285
RANGPUR,2026,9,0,0,1.0,3.6818181818181817,12,1.0,0.0,1.0,1,0.5406408174555978,-0.8412535328311811
RANGPUR,2026,10,1,0,0.0,3.6818181818181817,12,0.0,1.0,1.0,0,0.28173255684142967,-0.9594929736144974
RANGPUR,2026,11,4,1,1.0,3.6818181818181817,12,1.0,0.0,2.0,1,5.66553889764798e-16,-1.0
RANGPUR,2026,12,0,0,4.0,3.6818181818181817,12,4.0,1.0,5.0,1,-0.2817325568414294,-0.9594929736144975
RANGPUR,2026,13,4,1,0.0,3.6818181818181817,12,0.0,4.0,5.0,0,-0.5406408174555976,-0.8412535328311812
RANGPUR,2026,14,5,1,4.0,3.6818181818181817,12,4.0,0.0,8.0,1,-0.7557495743542582,-0.6548607339452852
RANGPUR,2026,15,7,1,5.0,3.6818181818181817,12,5.0,4.0,9.0,1,-0.909631995354518,-0.41541501300188716
RANGPUR,2026,16,23,1,7.0,3.6818181818181817,12,7.0,5.0,16.0,1,-0.9898214418809327,-0.14231483827328523
RANGPUR,2026,17,21,1,23.0,3.6818181818181817,12,23.0,7.0,35.0,1,-0.9898214418809328,0.14231483827328487
RANGPUR,2026,18,8,1,21.0,3.6818181818181817,12,21.0,23.0,51.0,1,-0.9096319953545186,0.41541501300188605
RANGPUR,2026,19,3,1,8.0,3.6818181818181817,12,8.0,21.0,52.0,1,-0.7557495743542587,0.6548607339452845
RANGPUR,2026,20,2,1,3.0,3.6818181818181817,12,3.0,8.0,32.0,1,-0.5406408174555974,0.8412535328311812
RANGPUR,2026,21,2,1,2.0,3.6818181818181817,12,2.0,3.0,13.0,1,-0.2817325568414298,0.9594929736144974
RANGPUR,2026,22,0,0,2.0,3.6818181818181817,12,2.0,2.0,7.0,1,-1.133107779529596e-15,1.0
SYLHET,2026,1,0,0,0.0,8.0,15,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
SYLHET,2026,2,0,0,0.0,8.0,15,0.0,0.0,0.0,0,0.5406408174555976,0.8412535328311812
SYLHET,2026,3,0,0,0.0,8.0,15,0.0,0.0,0.0,0,0.7557495743542583,0.6548607339452851
SYLHET,2026,4,0,0,0.0,8.0,15,0.0,0.0,0.0,0,0.9096319953545183,0.41541501300188644
SYLHET,2026,5,2,1,0.0,8.0,15,0.0,0.0,0.0,0,0.9898214418809327,0.14231483827328512
SYLHET,2026,6,1,0,2.0,8.0,15,2.0,0.0,2.0,1,0.9898214418809328,-0.142314838273285
SYLHET,2026,7,1,0,1.0,8.0,15,1.0,2.0,3.0,1,0.9096319953545184,-0.4154150130018863
SYLHET,2026,8,0,0,1.0,8.0,15,1.0,1.0,4.0,1,0.7557495743542583,-0.654860733945285
SYLHET,2026,9,2,1,0.0,8.0,15,0.0,1.0,2.0,0,0.5406408174555978,-0.8412535328311811
SYLHET,2026,10,6,1,2.0,8.0,15,2.0,0.0,3.0,1,0.28173255684142967,-0.9594929736144974
SYLHET,2026,11,0,0,6.0,8.0,15,6.0,2.0,8.0,1,5.66553889764798e-16,-1.0
SYLHET,2026,12,1,0,0.0,8.0,15,0.0,6.0,8.0,0,-0.2817325568414294,-0.9594929736144975
SYLHET,2026,13,12,1,1.0,8.0,15,1.0,0.0,7.0,1,-0.5406408174555976,-0.8412535328311812
SYLHET,2026,14,2,1,12.0,8.0,15,12.0,1.0,13.0,1,-0.7557495743542582,-0.6548607339452852
SYLHET,2026,15,11,1,2.0,8.0,15,2.0,12.0,15.0,1,-0.909631995354518,-0.41541501300188716
SYLHET,2026,16,49,1,11.0,8.0,15,11.0,2.0,25.0,1,-0.9898214418809327,-0.14231483827328523
SYLHET,2026,17,47,1,49.0,8.0,15,49.0,11.0,62.0,1,-0.9898214418809328,0.14231483827328487
SYLHET,2026,18,3,1,47.0,8.0,15,47.0,49.0,107.0,1,-0.9096319953545186,0.41541501300188605
SYLHET,2026,19,3,1,3.0,8.0,15,3.0,47.0,99.0,1,-0.7557495743542587,0.6548607339452845
SYLHET,2026,20,5,1,3.0,8.0,15,3.0,3.0,53.0,1,-0.5406408174555974,0.8412535328311812
SYLHET,2026,21,31,1,5.0,8.0,15,5.0,3.0,11.0,1,-0.2817325568414298,0.9594929736144974
SYLHET,2026,22,0,0,31.0,8.0,15,31.0,5.0,39.0,1,-1.133107779529596e-15,1.0
Sylhet,2026,1,0,0,0.0,0.6363636363636364,6,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
Sylhet,2026,2,0,0,0.0,0.6363636363636364,6,0.0,0.0,0.0,0,0.5406408174555976,0.8412535328311812
Sylhet,2026,3,0,0,0.0,0.6363636363636364,6,0.0,0.0,0.0,0,0.7557495743542583,0.6548607339452851
Sylhet,2026,4,0,0,0.0,0.6363636363636364,6,0.0,0.0,0.0,0,0.9096319953545183,0.41541501300188644
Sylhet,2026,5,0,0,0.0,0.6363636363636364,6,0.0,0.0,0.0,0,0.9898214418809327,0.14231483827328512
Sylhet,2026,6,0,0,0.0,0.6363636363636364,6,0.0,0.0,0.0,0,0.9898214418809328,-0.142314838273285
Sylhet,2026,7,0,0,0.0,0.6363636363636364,6,0.0,0.0,0.0,0,0.9096319953545184,-0.4154150130018863
Sylhet,2026,8,0,0,0.0,0.6363636363636364,6,0.0,0.0,0.0,0,0.7557495743542583,-0.654860733945285
Sylhet,2026,9,0,0,0.0,0.6363636363636364,6,0.0,0.0,0.0,0,0.5406408174555978,-0.8412535328311811
Sylhet,2026,10,0,0,0.0,0.6363636363636364,6,0.0,0.0,0.0,0,0.28173255684142967,-0.9594929736144974
Sylhet,2026,11,0,0,0.0,0.6363636363636364,6,0.0,0.0,0.0,0,5.66553889764798e-16,-1.0
Sylhet,2026,12,0,0,0.0,0.6363636363636364,6,0.0,0.0,0.0,0,-0.2817325568414294,-0.9594929736144975
Sylhet,2026,13,2,1,0.0,0.6363636363636364,6,0.0,0.0,0.0,0,-0.5406408174555976,-0.8412535328311812
Sylhet,2026,14,0,0,2.0,0.6363636363636364,6,2.0,0.0,2.0,1,-0.7557495743542582,-0.6548607339452852
Sylhet,2026,15,1,0,0.0,0.6363636363636364,6,0.0,2.0,2.0,0,-0.909631995354518,-0.41541501300188716
Sylhet,2026,16,3,1,1.0,0.6363636363636364,6,1.0,0.0,3.0,1,-0.9898214418809327,-0.14231483827328523
Sylhet,2026,17,2,1,3.0,0.6363636363636364,6,3.0,1.0,4.0,1,-0.9898214418809328,0.14231483827328487
Sylhet,2026,18,0,0,2.0,0.6363636363636364,6,2.0,3.0,6.0,1,-0.9096319953545186,0.41541501300188605
Sylhet,2026,19,1,0,0.0,0.6363636363636364,6,0.0,2.0,5.0,0,-0.7557495743542587,0.6548607339452845
Sylhet,2026,20,0,0,1.0,0.6363636363636364,6,1.0,0.0,3.0,1,-0.5406408174555974,0.8412535328311812
Sylhet,2026,21,5,1,0.0,0.6363636363636364,6,0.0,1.0,1.0,0,-0.2817325568414298,0.9594929736144974
Sylhet,2026,22,0,0,5.0,0.6363636363636364,6,5.0,0.0,6.0,1,-1.133107779529596e-15,1.0
