DISTRICT,yr,wk,cases,OUTBREAK,prev_cases,cases_mean,active_weeks,division_lvl,lag1,lag2,roll3,prev_active,wk_sin,wk_cos
BHOLA,2026,6,1,0,0.0,4.590909090909091,13,BARISAL,0.0,1.0,1.0,0,0.9898214418809328,-0.142314838273285
BHOLA,2026,7,0,0,1.0,4.590909090909091,13,BARISAL,1.0,0.0,2.0,1,0.9096319953545184,-0.4154150130018863
BHOLA,2026,8,0,0,0.0,4.590909090909091,13,BARISAL,0.0,1.0,1.0,0,0.7557495743542583,-0.654860733945285
BHOLA,2026,9,0,0,0.0,4.590909090909091,13,BARISAL,0.0,0.0,1.0,0,0.5406408174555978,-0.8412535328311811
BHOLA,2026,10,2,1,0.0,4.590909090909091,13,BARISAL,0.0,0.0,0.0,0,0.28173255684142967,-0.9594929736144974
BHOLA,2026,11,0,0,2.0,4.590909090909091,13,BARISAL,2.0,0.0,2.0,1,5.66553889764798e-16,-1.0
BHOLA,2026,12,0,0,0.0,4.590909090909091,13,BARISAL,0.0,2.0,2.0,0,-0.2817325568414294,-0.9594929736144975
BHOLA,2026,13,3,1,0.0,4.590909090909091,13,BARISAL,0.0,0.0,2.0,0,-0.5406408174555976,-0.8412535328311812
BHOLA,2026,14,8,1,3.0,4.590909090909091,13,BARISAL,3.0,0.0,3.0,1,-0.7557495743542582,-0.6548607339452852
BHOLA,2026,15,12,1,8.0,4.590909090909091,13,BARISAL,8.0,3.0,11.0,1,-0.909631995354518,-0.41541501300188716
BHOLA,2026,16,16,1,12.0,4.590909090909091,13,BARISAL,12.0,8.0,23.0,1,-0.9898214418809327,-0.14231483827328523
BHOLA,2026,17,13,1,16.0,4.590909090909091,13,BARISAL,16.0,12.0,36.0,1,-0.9898214418809328,0.14231483827328487
BHOLA,2026,18,10,1,13.0,4.590909090909091,13,BARISAL,13.0,16.0,41.0,1,-0.9096319953545186,0.41541501300188605
BHOLA,2026,19,14,1,10.0,4.590909090909091,13,BARISAL,10.0,13.0,39.0,1,-0.7557495743542587,0.6548607339452845
BHOLA,2026,20,16,1,14.0,4.590909090909091,13,BARISAL,14.0,10.0,37.0,1,-0.5406408174555974,0.8412535328311812
BHOLA,2026,21,4,1,16.0,4.590909090909091,13,BARISAL,16.0,14.0,40.0,1,-0.2817325568414298,0.9594929736144974
BHOLA,2026,22,1,0,4.0,4.590909090909091,13,BARISAL,4.0,16.0,34.0,1,-1.133107779529596e-15,1.0
BOGRA,2026,1,0,0,0.0,0.8636363636363636,7,RAJSHAHI,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
BOGRA,2026,2,0,0,0.0,0.8636363636363636,7,RAJSHAHI,0.0,0.0,0.0,0,0.5406408174555976,0.8412535328311812
BOGRA,2026,3,0,0,0.0,0.8636363636363636,7,RAJSHAHI,0.0,0.0,0.0,0,0.7557495743542583,0.6548607339452851
BOGRA,2026,4,0,0,0.0,0.8636363636363636,7,RAJSHAHI,0.0,0.0,0.0,0,0.9096319953545183,0.41541501300188644
BOGRA,2026,5,0,0,0.0,0.8636363636363636,7,RAJSHAHI,0.0,0.0,0.0,0,0.9898214418809327,0.14231483827328512
BOGRA,2026,6,0,0,0.0,0.8636363636363636,7,RAJSHAHI,0.0,0.0,0.0,0,0.9898214418809328,-0.142314838273285
BOGRA,2026,7,0,0,0.0,0.8636363636363636,7,RAJSHAHI,0.0,0.0,0.0,0,0.9096319953545184,-0.4154150130018863
BOGRA,2026,8,1,0,0.0,0.8636363636363636,7,RAJSHAHI,0.0,0.0,0.0,0,0.7557495743542583,-0.654860733945285
BOGRA,2026,9,0,0,1.0,0.8636363636363636,7,RAJSHAHI,1.0,0.0,1.0,1,0.5406408174555978,-0.8412535328311811
BOGRA,2026,10,1,0,0.0,0.8636363636363636,7,RAJSHAHI,0.0,1.0,1.0,0,0.28173255684142967,-0.9594929736144974
BOGRA,2026,11,0,0,1.0,0.8636363636363636,7,RAJSHAHI,1.0,0.0,2.0,1,5.66553889764798e-16,-1.0
