,0
upzmunc_KURIGRAM SADAR,0.0
upzmunc_JHALAKATHI MUN.,0.0
upzmunc_JAMALPUR SADAR,0.0
upzmunc_JAMALGANJ,0.0
upzmunc_KAMALGANJ,0.0
upzmunc_KALUKHALI,0.0
upzmunc_KALIHATI,0.0
upzmunc_KALIGANJ_SAT,0.0
upzmunc_ISLAMPUR,0.0
upzmunc_ISHWARDI MUN.,0.0
upzmunc_HOSSAINPUR,0.0
upzmunc_HOMNA,0.0
upzmunc_HIZLA,0.0
upzmunc_HATIYA,0.0
upzmunc_BAGHER PARA,0.0
upzmunc_GHIOR,0.0
upzmunc_GHATAIL,0.0
upzmunc_KARNAPHULI,0.0
upzmunc_KALIA,0.0
upzmunc_GANGNI,0.0
upzmunc_GANGACHARA,0.0
upzmunc_GALACHIPA,0.0
upzmunc_GAIBANDHA SADAR,0.0
upzmunc_GABTALI,0.0
upzmunc_FULTALA,0.0
upzmunc_FULGAZI,0.0
upzmunc_FULCHARI,0.0
upzmunc_HAJIGANJ,0.0
upzmunc_HAIMCHAR,0.0
upzmunc_DUMURIA,0.0
upzmunc_DUMKI,0.0
upzmunc_KARIMGANJ,0.0
upzmunc_BHAIRAB,0.0
upzmunc_MADHUPUR,0.0
upzmunc_MADHUKHALI,0.0
upzmunc_KHOKSHA,0.0
upzmunc_KHETLAL,0.0
upzmunc_KHANSAMA,0.0
upzmunc_KHALIAJURI,0.0
upzmunc_KHAGRACHHARI SADAR,0.0
upzmunc_MADAN,0.0
upzmunc_LOHAJANG,0.0
upzmunc_LOHAGARA_NAR,0.0
upzmunc_LANGADU,0.0
upzmunc_LAMA,0.0
upzmunc_LALMONIRHAT SADAR,0.0
upzmunc_LALMONIRHAT MUN.,0.0
upzmunc_KASHIANI,0.0
upzmunc_KASBA,0.0
upzmunc_MAULVIBAZAR MUN.,0.0
upzmunc_MATLAB NORTH,0.0
upzmunc_MATLAB,0.0
upzmunc_MATHBARIA MUN.,0.0
upzmunc_DASHMINA,0.0
upzmunc_DAMURHUDA,0.0
upzmunc_LALMAI,0.0
upzmunc_KUTUBDIA,0.0
upzmunc_MANIRAMPUR,0.0
upzmunc_MANIKGANJ MUN.,0.0
upzmunc_MANIKCHHARI,0.0
upzmunc_MANDA,0.0
upzmunc_MAHESHPUR MUN.,0.0
upzmunc_MAHADEBPUR,0.0
upzmunc_MAGURA SADAR,0.0
upzmunc_MAGURA MUN.,0.0
upzmunc_DIGHALIA,0.0
upzmunc_DHUPCHACHIA,0.0
upzmunc_DHUNAT,0.0
upzmunc_DHOBAURA,0.0
upzmunc_MATHBARIA,0.0
upzmunc_MANPURA,0.0
upzmunc_MADHABPUR,0.0
upzmunc_MADARIPUR MUN.,0.0
upzmunc_MADARGANJ,0.0
upzmunc_MIRZAGANJ,0.0
upzmunc_MIRSHARAI,0.0
upzmunc_MIRPUR,0.0
upzmunc_MELADAHA,0.0
upzmunc_MEHERPUR SADAR,0.0
upzmunc_MEGHNA,0.0
upzmunc_MAULVIBAZAR SADAR,0.0
upzmunc_MORRELGANJ,0.0
upzmunc_MONGLA,0.0
upzmunc_MOLLAHAT,0.0
upzmunc_MOHANPUR,0.0
upzmunc_MOHAMMADPUR,0.0
upzmunc_MITHAPUKUR,0.0
upzmunc_NAOGAON SADAR,0.0
upzmunc_NAOGAON MUN.,0.0
upzmunc_NALITABARI,0.0
upzmunc_DACOPE,0.0
upzmunc_DOHAR,0.0
upzmunc_DINAJPUR SADAR,0.0
upzmunc_DINAJPUR MUN.,0.0
upzmunc_DIMLA,0.0
upzmunc_DIGHINALA,0.0
upzmunc_NALDANGA,0.0
upzmunc_NALCHITY,0.0
upzmunc_NAKLA,0.0
upzmunc_NAIKHONGCHHARI,0.0
upzmunc_NAGESHWARI,0.0
upzmunc_NACHOLE,0.0
upzmunc_NABIGANJ,0.0
upzmunc_NETROKONA MUN.,0.0
upzmunc_NESARABAD,0.0
upzmunc_NAZIRPUR,0.0
upzmunc_NATORE MUN.,0.0
upzmunc_MANOHARDI,0.0
upzmunc_MUNSHIGANJ MUN.,0.0
upzmunc_MUKTAGACHHA MUN.,0.0
upzmunc_MUKSUDPUR,0.0
upzmunc_MUJIBNAGAR,0.0
upzmunc_NILPHAMARI MUN.,0.0
upzmunc_NIKLI,0.0
upzmunc_NIAMATPUR,0.0
upzmunc_NETROKONA SADAR,0.0
upzmunc_PIROJPUR SADAR,0.0
upzmunc_CHUADANGA MUN.,0.0
upzmunc_CHOUMOHANI MUN.,0.0
upzmunc_CHITALMARI,0.0
upzmunc_CHIRIRBANDAR,0.0
upzmunc_CHHATAK,0.0
upzmunc_CHHAGALNAIYA,0.0
upzmunc_CHAUHALI,0.0
upzmunc_DELDUAR,0.0
upzmunc_DEBIHATA,0.0
upzmunc_DEBIGANJ,0.0
upzmunc_DAULATPUR_MNG,0.0
upzmunc_PARBATIPUR,0.0
upzmunc_PANGSHA,0.0
upzmunc_PANCHHARI,0.0
upzmunc_PANCHBIBI,0.0
upzmunc_RANGABALI,0.0
upzmunc_DASKHIN SURMA,0.0
upzmunc_NARAYANGANJ CC.,0.0
upzmunc_NARAIL SADAR,0.0
upzmunc_NARAIL MUN.,0.0
upzmunc_PANCHAGARH SADAR,0.0
upzmunc_PALASHBARI,0.0
upzmunc_PALASH,0.0
upzmunc_PAKUNDIA,0.0
upzmunc_NOWABGANJ,0.0
upzmunc_NOAKHALI MUN.,0.0
upzmunc_NILPHAMARI SADAR,0.0
upzmunc_HARIPUR,0.0
upzmunc_HARINAKUNDA,0.0
upzmunc_KACHUA_CHA,0.0
upzmunc_KACHUA_BAG,0.0
upzmunc_KABIRHAT,0.0
upzmunc_HABIGANJ SADAR,0.0
upzmunc_GOSAIRHAT,0.0
upzmunc_GOPALPUR MUN.,0.0
upzmunc_GOPALPUR,0.0
upzmunc_GOLABGANJ,0.0
upzmunc_GOBINDAGANJ,0.0
upzmunc_GOALANDAGHAT,0.0
upzmunc_BATIAGHATA,0.0
upzmunc_PATHARGHATA,0.0
upzmunc_PARSHURAM,0.0
upzmunc_PARBATIPUR MUN.,0.0
upzmunc_RAJOIR,0.0
upzmunc_RAJNAGAR,0.0
upzmunc_RAJBARI SADAR,0.0
upzmunc_RAJBARI MUN.,0.0
upzmunc_RAJASTHALI,0.0
upzmunc_RAJAPUR,0.0
upzmunc_RAJAHAT,0.0
upzmunc_PORSHA,0.0
upzmunc_SAGHATTA,0.0
upzmunc_SADULLAPUR,0.0
upzmunc_PIROJPUR MUN.,0.0
upzmunc_PIRGANJ_RAN,0.0
upzmunc_PIRGACHHA,0.0
upzmunc_PATUAKHALI MUN.,0.0
upzmunc_PATNITALA,0.0
upzmunc_HARIRAMPUR,0.0
upzmunc_DHARMAPASHA,0.0
upzmunc_ROYPUR,0.0
upzmunc_ROYGANJ,0.0
upzmunc_RAUMARI,0.0
upzmunc_RANISANKAIL,0.0
upzmunc_RANINAGAR,0.0
upzmunc_RANGUNIA,0.0
upzmunc_RANGPUR SADAR,0.0
upzmunc_RANGPUR CC.,0.0
upzmunc_RANGAMATI SADAR,0.0
upzmunc_SATURIA,0.0
upzmunc_SATKHIRA SADAR,0.0
upzmunc_SATKHIRA MUN.,0.0
upzmunc_RAMPAL,0.0
upzmunc_RAMGARH,0.0
upzmunc_RAMGANJ,0.0
upzmunc_SHERPUR MUN.,0.0
upzmunc_SHERPUR,0.0
upzmunc_SADARPUR,0.0
upzmunc_RUPSA,0.0
upzmunc_BARHATTA,0.0
upzmunc_BARGUNA MUN.,0.0
upzmunc_BARAIGRAM,0.0
upzmunc_BANIACHONG,0.0
upzmunc_BANDARBAN SADAR,0.0
upzmunc_BANDAR,0.0
upzmunc_BALIAKANDI,0.0
upzmunc_BALIADANGI,0.0
upzmunc_BALAGANJ,0.0
upzmunc_DOMAR,0.0
upzmunc_AUSTAGRAM,0.0
upzmunc_ATWARI,0.0
upzmunc_SREEMANGAL,0.0
upzmunc_SREEBARDI,0.0
upzmunc_SONATOLA,0.0
upzmunc_SONAIMURI,0.0
upzmunc_SONAGAZI,0.0
upzmunc_SIRAJGANJ MUN.,0.0
upzmunc_SARISHABARI,0.0
upzmunc_SARIAKANDI,0.0
upzmunc_SARANKHOLA,0.0
upzmunc_SARAIL,0.0
upzmunc_SAPAHAR,0.0
upzmunc_SALTHA,0.0
upzmunc_SAIDPUR,0.0
upzmunc_SHIBCHAR,0.0
upzmunc_SHIBALAYA,0.0
upzmunc_SHERPUR SADAR,0.0
upzmunc_BRAHMAN PARA,0.0
upzmunc_COMPANIGANJ,0.0
upzmunc_COMILLA CC.,0.0
upzmunc_CHUNARUGHAT,0.0
upzmunc_CHUADANGA SADAR,0.0
upzmunc_SHIBGANJ_BOG,0.0
upzmunc_SHIBGANJ MUN.,0.0
upzmunc_SHARSHA,0.0
upzmunc_SHARIATPUR MUN.,0.0
upzmunc_SHANTIGANJ,0.0
upzmunc_SHALIKHA,0.0
upzmunc_SHAKHIPUR,0.0
upzmunc_SHAHRASTI,0.0
upzmunc_SHAHJAHANPUR,0.0
upzmunc_SHAHJADPUR,0.0
upzmunc_SERAJDIKHAN,0.0
upzmunc_SYLHET CC.,0.0
upzmunc_SUNDARGANJ,0.0
upzmunc_SUNAMGANJ MUN.,0.0
upzmunc_SULLA,0.0
upzmunc_SUBARNACHAR,0.0
upzmunc_SREEMANGAL MUN.,0.0
upzmunc_ULLAPARA,0.0
upzmunc_ULIPUR,0.0
